id,Candidato,#Hashtags,PersonasMencionadas,Urls,#Palabras,#Retweets
1339989052053975045,Candidato Álvaro Noboa,4,13,4,20,16

1339988186454487040,Candidato Álvaro Noboa,4,14,4,20,16

1339987739119378434,Candidato Álvaro Noboa,4,15,4,20,16

1339987663315759104,Candidato Álvaro Noboa,4,15,4,18,16

1339977610705645569,Candidato Álvaro Noboa,4,16,4,20,17

1339972147075313664,Candidato Álvaro Noboa,4,17,4,20,34

1339935965993791490,Candidato Álvaro Noboa,4,17,4,18,0

1339934104360529921,Candidato Álvaro Noboa,4,18,4,20,17

1339931384060764160,Candidato Álvaro Noboa,4,18,4,18,0

1339931120218071040,Candidato Álvaro Noboa,4,19,4,20,17

1339920198292402177,Candidato Álvaro Noboa,4,20,4,20,34

1339911683012222976,Candidato Álvaro Noboa,7,20,4,20,0

1339907595910443008,Candidato Álvaro Noboa,7,21,4,20,17

1339904901586010112,Candidato Álvaro Noboa,7,22,4,20,17

1339903503150555138,Candidato Álvaro Noboa,7,23,4,20,34

1339899522483367937,Candidato Álvaro Noboa,7,24,4,20,17

1339894567773085701,Candidato Álvaro Noboa,7,25,4,20,17

1339891571437817856,Candidato Álvaro Noboa,7,26,4,20,17

1339884084995252225,Candidato Álvaro Noboa,7,27,4,20,17

1339882034966228992,Candidato Álvaro Noboa,7,28,4,20,17

1339880415960702976,Candidato Álvaro Noboa,7,29,4,20,17

1339875896371662849,Candidato Álvaro Noboa,7,30,4,20,17

1339873383295672320,Candidato Álvaro Noboa,7,31,4,20,17

1339873318850146306,Candidato Álvaro Noboa,7,31,4,18,17

1339868905922289664,Candidato Álvaro Noboa,7,32,4,20,34

1339866961828851713,Candidato Álvaro Noboa,7,33,4,20,34

1339861370972598272,Candidato Álvaro Noboa,7,34,4,20,34

1339860417200447489,Candidato Álvaro Noboa,7,35,4,20,34

1339772851369467904,Candidato Álvaro Noboa,7,36,4,20,34

1339769896234840067,Candidato Álvaro Noboa,7,37,4,20,34

1339757732640022528,Candidato Álvaro Noboa,7,38,4,20,34

1339753595487592448,Candidato Álvaro Noboa,7,39,4,20,34

1339739889886224386,Candidato Álvaro Noboa,7,40,4,20,34

1339738109022523393,Candidato Álvaro Noboa,7,41,4,20,34

